sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_2_flux,sc_ep_3_flux,sc_ep_4_flux,sc_ep_5_flux,sc_ep_8_flux,sc_ep_9_flux,sc_hr1,sc_hr2,sc_hr3,sc_hr4,sc_extent,sc_ep_8_fmin,sc_ep_8_fmax,Class
1.836559303,20.12278044,0.50800747,408.3659,2.38E-15,7.00E-15,9.37E-15,1.06E-14,1.97E-14,4.85E-14,3.08E-14,0.3891049,-0.002789572,-0.40149617,-0.12021821,0,2.65E-14,9.91E-14,0
87.38396245,-21.92487521,0.3361167,2672.847,7.14E-15,1.99E-14,2.80E-14,3.04E-14,5.99E-14,1.46E-13,8.37E-14,0.44425732,0.119970635,-0.44313005,-0.33147484,0,1.43E-13,1.49E-13,0
159.945875,-5.116026114,0.52120435,583.1679,2.38E-15,7.92E-15,8.05E-15,9.41E-15,4.54E-15,3.03E-14,2.89E-14,0.5152396,0.000777436,-0.37051395,-0.49510157,0,2.01E-14,6.73E-14,0
38.7664423,32.67708402,0.68936044,292.4774,7.12E-16,6.61E-15,2.40E-14,6.57E-14,8.24E-14,1.86E-13,7.54E-14,0.84907037,0.55981153,-0.026348265,-0.40092376,0,1.58E-13,2.64E-13,0
141.6611986,36.40071436,0.30960247,2871.466,2.67E-15,9.07E-15,1.98E-14,4.53E-14,5.81E-14,1.36E-13,6.46E-14,0.4974938,0.3195063,-0.1134378,-0.5041493,0,1.36E-13,1.36E-13,0
316.9924565,-5.29481435,0.4578994,504487.1,3.77E-14,5.76E-14,5.54E-14,4.58E-14,6.07E-14,2.37E-13,1.91E-13,-0.76818687,0.020179423,-0.15420678,-0.26438853,0,2.58E-14,6.13E-12,0
47.636638,-9.751654414,0.6356733,1015.711,3.49E-15,1.33E-14,1.94E-14,3.19E-14,4.40E-14,1.14E-13,6.45E-14,0.5678062,0.105662,-0.2665727,-0.4931563,0,1.14E-13,1.14E-13,0
53.45731596,-28.37866397,0.19642547,13677.07,5.11E-14,1.13E-13,1.63E-13,2.12E-13,3.78E-13,9.15E-13,5.04E-13,0.33646667,0.12136659,-0.37338084,-0.37558368,0,8.40E-13,1.05E-12,0
133.5392024,20.22734826,0.2313292,2447.509,2.45E-15,9.56E-15,2.40E-14,4.92E-14,1.15E-13,2.03E-13,7.33E-14,0.6213884,0.39802995,-0.14679424,-0.24008529,0,1.32E-13,3.76E-13,0
246.257257,39.15733,0.21348101,48241.45,1.75E-13,3.37E-13,4.06E-13,4.94E-13,6.59E-13,2.07E-12,1.32E-12,0.3194153,0.04072242,-0.3993818,-0.5120096,0,2.07E-12,2.07E-12,0
333.8325694,-0.54920636,1.4807938,45.93779,9.52E-16,2.18E-15,7.86E-15,1.89E-14,1.05E-14,4.35E-14,2.42E-14,0.4388517,0.3678299,-0.1182785,-0.6647885,0,4.35E-14,4.35E-14,0
351.5806359,28.44695575,0.8257837,305.3024,1.10E-15,4.23E-15,1.17E-14,1.63E-14,3.30E-14,6.87E-14,3.05E-14,0.4836263,0.4433806,-0.3470949,-0.2885655,0,6.87E-14,6.87E-14,0
28.9309376,0.468655949,0.5654528,2046.843,5.78E-14,1.12E-13,1.69E-13,2.69E-13,3.96E-13,1.01E-12,5.42E-13,0.3298423,0.2603432,-0.2556149,-0.5450255,0,1.01E-12,1.01E-12,0
73.69519887,-18.20400456,0.27105916,11281.36,1.88E-14,4.89E-14,7.16E-14,9.35E-14,1.36E-13,3.71E-13,2.17E-13,0.4033212,0.1229529,-0.372555,-0.4864055,0,3.71E-13,3.71E-13,0
142.279337,-24.08493433,0.9406788,226.7075,3.95E-15,8.64E-15,1.31E-14,1.68E-14,2.47E-14,7.09E-14,4.15E-14,0.3641672,0.1746791,-0.4060673,-0.5320498,0,7.09E-14,7.09E-14,0
342.4163296,-27.1146964,0.33472747,110786.1,2.77E-13,5.99E-13,8.92E-13,1.16E-12,1.61E-12,4.53E-12,2.73E-12,0.3595986,0.1447438,-0.3720804,-0.4974112,0,4.53E-12,4.53E-12,0
